Year,Race,TrackType,Driver,Team,GridPosition,QualifyingPosition,RacePosition,Status,TopSpeed,NetPositionGain
2022,Monaco,Street,MAG,Haas F1 Team,13,13,20,Water pressure,,
2022,Azerbaijan,Street,VER,Red Bull Racing,3,3,1,Finished,325,2
2022,Azerbaijan,Street,PER,Red Bull Racing,2,2,2,Finished,324,0
2022,Azerbaijan,Street,RUS,Mercedes,5,5,3,Finished,312,2
2022,Azerbaijan,Street,HAM,Mercedes,7,7,4,Finished,315,3
2022,Azerbaijan,Street,GAS,AlphaTauri,6,6,5,Finished,318,1
2022,Azerbaijan,Street,VET,Aston Martin,9,9,6,Finished,324,3
2022,Azerbaijan,Street,ALO,Alpine,10,10,7,Finished,328,3
2022,Azerbaijan,Street,RIC,McLaren,12,12,8,Finished,317,4
2022,Azerbaijan,Street,NOR,McLaren,11,11,9,Finished,315,2
2022,Azerbaijan,Street,OCO,Alpine,13,13,10,Finished,326,3
2022,Azerbaijan,Street,BOT,Alfa Romeo,15,15,11,+1 Lap,317,
2022,Azerbaijan,Street,ALB,Williams,17,17,12,+1 Lap,323,
2022,Azerbaijan,Street,TSU,AlphaTauri,8,8,13,+1 Lap,322,
2022,Azerbaijan,Street,MSC,Haas F1 Team,20,20,14,+1 Lap,319,
2022,Azerbaijan,Street,LAT,Williams,18,18,15,+1 Lap,321,
2022,Azerbaijan,Street,STR,Aston Martin,19,19,16,Vibrations,323,
2022,Azerbaijan,Street,MAG,Haas F1 Team,16,16,17,Power Unit,324,
2022,Azerbaijan,Street,ZHO,Alfa Romeo,14,14,18,Hydraulics,333,
2022,Azerbaijan,Street,LEC,Ferrari,1,1,19,Power Unit,318,
2022,Azerbaijan,Street,SAI,Ferrari,4,4,20,Hydraulics,324,
2022,Canada,Hybrid,VER,Red Bull Racing,1,1,1,Finished,309,0
2022,Canada,Hybrid,SAI,Ferrari,3,3,2,Finished,324,1
2022,Canada,Hybrid,HAM,Mercedes,4,4,3,Finished,309,1
2022,Canada,Hybrid,RUS,Mercedes,8,8,4,Finished,306,4
2022,Canada,Hybrid,LEC,Ferrari,19,15,5,Finished,312,14
2022,Canada,Hybrid,OCO,Alpine,7,7,6,Finished,310,1
2022,Canada,Hybrid,BOT,Alfa Romeo,11,11,7,Finished,333,4
2022,Canada,Hybrid,ZHO,Alfa Romeo,10,10,8,Finished,336,2
2022,Canada,Hybrid,ALO,Alpine,2,2,9,Finished,326,-7
2022,Canada,Hybrid,STR,Aston Martin,17,18,10,Finished,310,7
2022,Canada,Hybrid,RIC,McLaren,9,9,11,Finished,308,-2
2022,Canada,Hybrid,VET,Aston Martin,16,17,12,Finished,315,4
2022,Canada,Hybrid,ALB,Williams,12,12,13,Finished,321,-1
2022,Canada,Hybrid,GAS,AlphaTauri,15,16,14,Finished,336,1
2022,Canada,Hybrid,NOR,McLaren,14,14,15,Finished,331,-1
2022,Canada,Hybrid,LAT,Williams,18,19,16,Finished,316,2
2022,Canada,Hybrid,MAG,Haas F1 Team,5,5,17,Finished,310,-12
2022,Canada,Hybrid,TSU,AlphaTauri,20,20,18,Accident,312,
2022,Canada,Hybrid,MSC,Haas F1 Team,6,6,19,Engine,309,
2022,Canada,Hybrid,PER,Red Bull Racing,13,13,20,Gearbox,341,
2022,United Kingdom,Permanent,VER,Red Bull Racing,2,3,1,Finished,328,1
2022,United Kingdom,Permanent,HAM,Mercedes,3,5,2,Finished,298,1
2022,United Kingdom,Permanent,LEC,Ferrari,12,2,3,Finished,300,9
2022,United Kingdom,Permanent,PER,Red Bull Racing,9,4,4,Finished,304,5
2022,United Kingdom,Permanent,RUS,Mercedes,4,6,5,Finished,301,-1
2022,United Kingdom,Permanent,NOR,McLaren,6,8,6,Finished,328,0
2022,United Kingdom,Permanent,ALO,Alpine,14,9,7,Finished,305,7
2022,United Kingdom,Permanent,VET,Aston Martin,10,12,8,Finished,299,2
2022,United Kingdom,Permanent,MAG,Haas F1 Team,13,16,9,Finished,297,4
2022,United Kingdom,Permanent,TSU,AlphaTauri,19,15,10,Finished,326,9
2022,United Kingdom,Permanent,OCO,Alpine,0,18,11,Finished,300,-11
2022,United Kingdom,Permanent,ZHO,Alfa Romeo,18,14,12,Finished,299,6
2022,United Kingdom,Permanent,ALB,Williams,8,11,13,Finished,307,-5
2022,United Kingdom,Permanent,GAS,AlphaTauri,11,13,14,Finished,305,-3
2022,United Kingdom,Permanent,MSC,Haas F1 Team,16,19,15,Finished,303,1
2022,United Kingdom,Permanent,RIC,McLaren,15,17,16,Finished,299,-1
2022,United Kingdom,Permanent,LAT,Williams,17,20,17,Finished,307,0
2022,United Kingdom,Permanent,STR,Aston Martin,5,7,18,Collision,294,
2022,United Kingdom,Permanent,BOT,Alfa Romeo,7,10,19,Spun off,298,
2022,United Kingdom,Permanent,SAI,Ferrari,1,1,20,Collision damage,,
2022,Austria,Permanent,LEC,Ferrari,2,2,1,Finished,301,1
2022,Austria,Permanent,VER,Red Bull Racing,1,1,2,Finished,312,-1
2022,Austria,Permanent,HAM,Mercedes,8,9,3,Finished,298,5
2022,Austria,Permanent,RUS,Mercedes,4,4,4,Finished,313,0
2022,Austria,Permanent,OCO,Alpine,6,5,5,Finished,311,1
2022,Austria,Permanent,MSC,Haas F1 Team,9,7,6,+1 Lap,310,
2022,Austria,Permanent,NOR,McLaren,10,15,7,+1 Lap,317,
2022,Austria,Permanent,MAG,Haas F1 Team,7,6,8,+1 Lap,297,
2022,Austria,Permanent,RIC,McLaren,11,16,9,+1 Lap,297,
2022,Austria,Permanent,ALO,Alpine,19,8,10,+1 Lap,313,
2022,Austria,Permanent,BOT,Alfa Romeo,0,12,11,+1 Lap,315,
2022,Austria,Permanent,ALB,Williams,15,11,12,+1 Lap,319,
2022,Austria,Permanent,STR,Aston Martin,12,17,13,+1 Lap,319,
2022,Austria,Permanent,ZHO,Alfa Romeo,13,18,14,+1 Lap,321,
2022,Austria,Permanent,GAS,AlphaTauri,14,10,15,+1 Lap,297,
2022,Austria,Permanent,TSU,AlphaTauri,16,14,16,+1 Lap,302,
2022,Austria,Permanent,VET,Aston Martin,18,20,17,+1 Lap,310,
2022,Austria,Permanent,SAI,Ferrari,3,3,18,Power Unit,312,
2022,Austria,Permanent,LAT,Williams,17,19,19,Undertray,298,
2022,Austria,Permanent,PER,Red Bull Racing,5,13,20,Collision damage,293,
2022,France,Permanent,LEC,Ferrari,,,,,,
2022,France,Permanent,VER,Red Bull Racing,,,,,,
2022,France,Permanent,PER,Red Bull Racing,,,,,,
2022,France,Permanent,HAM,Mercedes,,,,,,
2022,France,Permanent,NOR,McLaren,,,,,,
2022,France,Permanent,RUS,Mercedes,,,,,,
2022,France,Permanent,ALO,Alpine,,,,,,
2022,France,Permanent,TSU,AlphaTauri,,,,,,
2022,France,Permanent,RIC,McLaren,,,,,,
2022,France,Permanent,OCO,Alpine,,,,,,
2022,France,Permanent,BOT,Alfa Romeo,,,,,,
2022,France,Permanent,VET,Aston Martin,,,,,,
2022,France,Permanent,ALB,Williams,,,,,,
2022,France,Permanent,GAS,AlphaTauri,,,,,,
2022,France,Permanent,STR,Aston Martin,,,,,,
2022,France,Permanent,ZHO,Alfa Romeo,,,,,,
2022,France,Permanent,MSC,Haas F1 Team,,,,,,
2022,France,Permanent,LAT,Williams,,,,,,
2022,France,Permanent,SAI,Ferrari,,,,,,
2022,France,Permanent,MAG,Haas F1 Team,,,,,,
2022,Hungary,Permanent,VER,Red Bull Racing,10,10,1,Finished,312,9
2022,Hungary,Permanent,HAM,Mercedes,7,7,2,Finished,285,5
2022,Hungary,Permanent,RUS,Mercedes,1,1,3,Finished,283,-2
2022,Hungary,Permanent,SAI,Ferrari,2,2,4,Finished,286,-2
2022,Hungary,Permanent,PER,Red Bull Racing,11,11,5,Finished,290,6
2022,Hungary,Permanent,LEC,Ferrari,3,3,6,Finished,287,-3
2022,Hungary,Permanent,NOR,McLaren,4,4,7,Finished,302,-3
2022,Hungary,Permanent,ALO,Alpine,6,6,8,+1 Lap,297,
2022,Hungary,Permanent,OCO,Alpine,5,5,9,+1 Lap,287,
2022,Hungary,Permanent,VET,Aston Martin,18,18,10,+1 Lap,311,
2022,Hungary,Permanent,STR,Aston Martin,14,14,11,+1 Lap,294,
2022,Hungary,Permanent,GAS,AlphaTauri,0,19,12,+1 Lap,291,
2022,Hungary,Permanent,ZHO,Alfa Romeo,12,12,13,+1 Lap,304,
2022,Hungary,Permanent,MSC,Haas F1 Team,15,15,14,+1 Lap,285,
2022,Hungary,Permanent,RIC,McLaren,9,9,15,+1 Lap,290,
2022,Hungary,Permanent,MAG,Haas F1 Team,13,13,16,+1 Lap,285,
2022,Hungary,Permanent,ALB,Williams,17,17,17,+1 Lap,294,
2022,Hungary,Permanent,LAT,Williams,19,20,18,+1 Lap,312,
2022,Hungary,Permanent,TSU,AlphaTauri,16,16,19,+2 Laps,289,
2022,Hungary,Permanent,BOT,Alfa Romeo,8,8,20,Power Unit,289,
2022,Belgium,Permanent,VER,Red Bull Racing,14,1,1,Finished,320,13
2022,Belgium,Permanent,PER,Red Bull Racing,2,3,2,Finished,322,0
2022,Belgium,Permanent,SAI,Ferrari,1,2,3,Finished,316,-2
2022,Belgium,Permanent,RUS,Mercedes,5,8,4,Finished,313,1
2022,Belgium,Permanent,ALO,Alpine,3,6,5,Finished,316,-2
2022,Belgium,Permanent,LEC,Ferrari,15,4,6,Finished,334,9
2022,Belgium,Permanent,OCO,Alpine,16,5,7,Finished,317,9
2022,Belgium,Permanent,VET,Aston Martin,10,16,8,Finished,318,2
2022,Belgium,Permanent,GAS,AlphaTauri,0,12,9,Finished,337,-9
2022,Belgium,Permanent,ALB,Williams,6,9,10,Finished,335,-4
2022,Belgium,Permanent,STR,Aston Martin,9,14,11,Finished,333,-2
2022,Belgium,Permanent,NOR,McLaren,17,10,12,Finished,329,5
2022,Belgium,Permanent,TSU,AlphaTauri,0,19,13,Finished,323,-13
2022,Belgium,Permanent,ZHO,Alfa Romeo,18,13,14,Finished,328,4
2022,Belgium,Permanent,RIC,McLaren,7,11,15,Finished,328,-8
2022,Belgium,Permanent,MAG,Haas F1 Team,12,18,16,+1 Lap,315,
2022,Belgium,Permanent,MSC,Haas F1 Team,19,15,17,+1 Lap,318,
2022,Belgium,Permanent,LAT,Williams,11,17,18,+1 Lap,317,
2022,Belgium,Permanent,BOT,Alfa Romeo,13,20,19,Accident,,
2022,Belgium,Permanent,HAM,Mercedes,4,7,20,Collision damage,,
2022,Netherlands,Permanent,VER,Red Bull Racing,1,1,1,Finished,301,0
2022,Netherlands,Permanent,RUS,Mercedes,6,6,2,Finished,297,4
2022,Netherlands,Permanent,LEC,Ferrari,2,2,3,Finished,305,-1
2022,Netherlands,Permanent,HAM,Mercedes,4,4,4,Finished,295,0
2022,Netherlands,Permanent,PER,Red Bull Racing,5,5,5,Finished,319,0
2022,Netherlands,Permanent,ALO,Alpine,13,13,6,Finished,314,7
2022,Netherlands,Permanent,NOR,McLaren,7,7,7,Finished,318,0
2022,Netherlands,Permanent,SAI,Ferrari,3,3,8,Finished,303,-5
2022,Netherlands,Permanent,OCO,Alpine,12,12,9,Finished,305,3
2022,Netherlands,Permanent,STR,Aston Martin,10,10,10,Finished,318,0
2022,Netherlands,Permanent,GAS,AlphaTauri,11,11,11,Finished,325,0
