Year,Race,TrackType,Driver,Team,GridPosition,QualifyingPosition,RacePosition,Status,TopSpeed,NetPositionGain
2022,United States,Permanent,PER,Red Bull Racing,9,4,4,Finished,304,5
2022,United States,Permanent,RUS,Mercedes,4,6,5,Finished,301,-1
2022,United States,Permanent,NOR,McLaren,6,8,6,Finished,328,0
2022,United States,Permanent,ALO,Alpine,14,9,7,Finished,305,7
2022,United States,Permanent,VET,Aston Martin,10,12,8,Finished,299,2
2022,United States,Permanent,MAG,Haas F1 Team,13,16,9,Finished,297,4
2022,United States,Permanent,TSU,AlphaTauri,19,15,10,Finished,326,9
2022,United States,Permanent,OCO,Alpine,0,18,11,Finished,300,-11
2022,United States,Permanent,ZHO,Alfa Romeo,18,14,12,Finished,299,6
2022,United States,Permanent,ALB,Williams,8,11,13,Finished,307,-5
2022,United States,Permanent,GAS,AlphaTauri,11,13,14,Finished,305,-3
2022,United States,Permanent,MSC,Haas F1 Team,16,19,15,Finished,303,1
2022,United States,Permanent,RIC,McLaren,15,17,16,Finished,299,-1
2022,United States,Permanent,LAT,Williams,17,20,17,Finished,307,0
2022,United States,Permanent,STR,Aston Martin,5,7,18,Collision,294,
2022,United States,Permanent,BOT,Alfa Romeo,7,10,19,Spun off,298,
2022,United States,Permanent,SAI,Ferrari,1,1,20,Collision damage,,
2022,Mexico City,Permanent,VER,Red Bull Racing,1,1,1,Finished,326,0
2022,Mexico City,Permanent,HAM,Mercedes,3,3,2,Finished,324,1
2022,Mexico City,Permanent,PER,Red Bull Racing,4,4,3,Finished,347,1
2022,Mexico City,Permanent,RUS,Mercedes,2,2,4,Finished,342,-2
2022,Mexico City,Permanent,SAI,Ferrari,5,5,5,Finished,336,0
2022,Mexico City,Permanent,LEC,Ferrari,7,7,6,Finished,323,1
2022,Mexico City,Permanent,RIC,McLaren,11,11,7,+1 Lap,328,
2022,Mexico City,Permanent,OCO,Alpine,10,10,8,+1 Lap,324,
2022,Mexico City,Permanent,NOR,McLaren,8,8,9,+1 Lap,329,
2022,Mexico City,Permanent,BOT,Alfa Romeo,6,6,10,+1 Lap,343,
2022,Mexico City,Permanent,GAS,AlphaTauri,14,14,11,+1 Lap,328,
2022,Mexico City,Permanent,ALB,Williams,17,19,12,+1 Lap,333,
2022,Mexico City,Permanent,ZHO,Alfa Romeo,12,12,13,+1 Lap,324,
2022,Mexico City,Permanent,VET,Aston Martin,16,17,14,+1 Lap,326,
2022,Mexico City,Permanent,STR,Aston Martin,20,18,15,+1 Lap,323,
2022,Mexico City,Permanent,MSC,Haas F1 Team,15,16,16,+1 Lap,325,
2022,Mexico City,Permanent,MAG,Haas F1 Team,19,15,17,+1 Lap,325,
2022,Mexico City,Permanent,LAT,Williams,18,20,18,+2 Laps,353,
2022,Mexico City,Permanent,ALO,Alpine,9,9,19,Engine,324,
2022,Mexico City,Permanent,TSU,AlphaTauri,13,13,20,Collision damage,331,
2022,São Paulo,Permanent,RUS,Mercedes,1,3,1,Finished,299,0
2022,São Paulo,Permanent,HAM,Mercedes,2,8,2,Finished,310,0
2022,São Paulo,Permanent,SAI,Ferrari,7,5,3,Finished,305,4
2022,São Paulo,Permanent,LEC,Ferrari,5,10,4,Finished,329,1
2022,São Paulo,Permanent,ALO,Alpine,17,7,5,Finished,327,12
2022,São Paulo,Permanent,VER,Red Bull Racing,3,2,6,Finished,314,-3
2022,São Paulo,Permanent,PER,Red Bull Racing,4,9,7,Finished,313,-3
2022,São Paulo,Permanent,OCO,Alpine,16,6,8,Finished,308,8
2022,São Paulo,Permanent,BOT,Alfa Romeo,14,18,9,Finished,309,5
2022,São Paulo,Permanent,STR,Aston Martin,15,15,10,Finished,305,5
2022,São Paulo,Permanent,VET,Aston Martin,9,13,11,Finished,312,-2
2022,São Paulo,Permanent,ZHO,Alfa Romeo,13,17,12,Finished,332,1
2022,São Paulo,Permanent,MSC,Haas F1 Team,12,20,13,Finished,324,-1
2022,São Paulo,Permanent,GAS,AlphaTauri,10,12,14,Finished,336,-4
2022,São Paulo,Permanent,ALB,Williams,19,11,15,Finished,312,4
2022,São Paulo,Permanent,LAT,Williams,18,16,16,Finished,307,2
2022,São Paulo,Permanent,TSU,AlphaTauri,0,19,17,+1 Lap,315,
2022,São Paulo,Permanent,NOR,McLaren,6,4,18,Gearbox,332,
2022,São Paulo,Permanent,MAG,Haas F1 Team,8,1,19,Collision,,
2022,São Paulo,Permanent,RIC,McLaren,11,14,20,Collision,,
2022,Abu Dhabi,Permanent,VER,Red Bull Racing,1,1,1,Finished,308,0
2022,Abu Dhabi,Permanent,LEC,Ferrari,3,3,2,Finished,317,1
2022,Abu Dhabi,Permanent,PER,Red Bull Racing,2,2,3,Finished,308,-1
2022,Abu Dhabi,Permanent,SAI,Ferrari,4,4,4,Finished,327,0
2022,Abu Dhabi,Permanent,RUS,Mercedes,6,6,5,Finished,300,1
2022,Abu Dhabi,Permanent,NOR,McLaren,7,7,6,Finished,298,1
2022,Abu Dhabi,Permanent,OCO,Alpine,8,8,7,Finished,301,1
2022,Abu Dhabi,Permanent,STR,Aston Martin,14,14,8,Finished,299,6
2022,Abu Dhabi,Permanent,RIC,McLaren,13,10,9,Finished,302,4
2022,Abu Dhabi,Permanent,VET,Aston Martin,9,9,10,Finished,300,-1
2022,Abu Dhabi,Permanent,TSU,AlphaTauri,11,12,11,Finished,306,0
2022,Abu Dhabi,Permanent,ZHO,Alfa Romeo,15,15,12,+1 Lap,324,
2022,Abu Dhabi,Permanent,ALB,Williams,19,19,13,+1 Lap,314,
2022,Abu Dhabi,Permanent,GAS,AlphaTauri,17,17,14,+1 Lap,305,
2022,Abu Dhabi,Permanent,BOT,Alfa Romeo,18,18,15,+1 Lap,298,
2022,Abu Dhabi,Permanent,MSC,Haas F1 Team,12,13,16,+1 Lap,327,
2022,Abu Dhabi,Permanent,MAG,Haas F1 Team,16,16,17,+1 Lap,302,
2022,Abu Dhabi,Permanent,HAM,Mercedes,5,5,18,Hydraulics,303,
2022,Abu Dhabi,Permanent,LAT,Williams,20,20,19,Collision damage,310,
2022,Abu Dhabi,Permanent,ALO,Alpine,10,11,20,Water leak,330,
2023,Bahrain,Permanent,VER,Red Bull Racing,1,1,1,Finished,306,0
2023,Bahrain,Permanent,PER,Red Bull Racing,2,2,2,Finished,305,0
2023,Bahrain,Permanent,ALO,Aston Martin,5,5,3,Finished,304,2
2023,Bahrain,Permanent,SAI,Ferrari,4,4,4,Finished,308,0
2023,Bahrain,Permanent,HAM,Mercedes,7,7,5,Finished,309,2
2023,Bahrain,Permanent,STR,Aston Martin,8,8,6,Finished,305,2
2023,Bahrain,Permanent,RUS,Mercedes,6,6,7,Finished,300,-1
2023,Bahrain,Permanent,BOT,Alfa Romeo,12,12,8,Finished,301,4
2023,Bahrain,Permanent,GAS,Alpine,20,20,9,Finished,330,11
2023,Bahrain,Permanent,ALB,Williams,15,15,10,Finished,314,5
2023,Bahrain,Permanent,TSU,AlphaTauri,14,14,11,Finished,331,3
2023,Bahrain,Permanent,SAR,Williams,16,16,12,Lapped,310,
2023,Bahrain,Permanent,MAG,Haas F1 Team,17,17,13,Lapped,308,
2023,Bahrain,Permanent,DEV,AlphaTauri,19,19,14,Lapped,306,
2023,Bahrain,Permanent,HUL,Haas F1 Team,10,10,15,Lapped,309,
2023,Bahrain,Permanent,ZHO,Alfa Romeo,13,13,16,Lapped,302,
2023,Bahrain,Permanent,NOR,McLaren,11,11,17,Lapped,303,
2023,Bahrain,Permanent,OCO,Alpine,9,9,18,Retired,302,
2023,Bahrain,Permanent,LEC,Ferrari,3,3,19,Retired,307,
2023,Bahrain,Permanent,PIA,McLaren,18,18,20,Retired,,
2023,Saudi Arabia,Street,PER,Red Bull Racing,1,1,1,Finished,317,0
2023,Saudi Arabia,Street,VER,Red Bull Racing,15,15,2,Finished,316,13
2023,Saudi Arabia,Street,ALO,Aston Martin,2,3,3,Finished,311,-1
2023,Saudi Arabia,Street,RUS,Mercedes,3,4,4,Finished,311,-1
2023,Saudi Arabia,Street,HAM,Mercedes,7,8,5,Finished,311,2
2023,Saudi Arabia,Street,SAI,Ferrari,4,5,6,Finished,313,-2
2023,Saudi Arabia,Street,LEC,Ferrari,12,2,7,Finished,314,5
2023,Saudi Arabia,Street,OCO,Alpine,6,7,8,Finished,311,-2
2023,Saudi Arabia,Street,GAS,Alpine,9,10,9,Finished,306,0
2023,Saudi Arabia,Street,MAG,Haas F1 Team,13,13,10,Finished,329,3
2023,Saudi Arabia,Street,TSU,AlphaTauri,16,16,11,Finished,312,5
2023,Saudi Arabia,Street,HUL,Haas F1 Team,10,11,12,Finished,318,-2
2023,Saudi Arabia,Street,ZHO,Alfa Romeo,11,12,13,Finished,309,-2
2023,Saudi Arabia,Street,DEV,AlphaTauri,18,18,14,Finished,310,4
2023,Saudi Arabia,Street,PIA,McLaren,8,9,15,Finished,335,-7
2023,Saudi Arabia,Street,SAR,Williams,20,20,16,Finished,315,4
2023,Saudi Arabia,Street,NOR,McLaren,19,19,17,Finished,325,2
2023,Saudi Arabia,Street,BOT,Alfa Romeo,14,14,18,Lapped,305,
2023,Saudi Arabia,Street,ALB,Williams,17,17,19,Retired,334,
2023,Saudi Arabia,Street,STR,Aston Martin,5,6,20,Retired,329,
2023,Australia,Hybrid,VER,Red Bull Racing,1,1,1,Finished,303,0
2023,Australia,Hybrid,HAM,Mercedes,3,3,2,Finished,302,1
2023,Australia,Hybrid,ALO,Aston Martin,4,4,3,Finished,303,1
2023,Australia,Hybrid,STR,Aston Martin,6,6,4,Finished,318,2
2023,Australia,Hybrid,PER,Red Bull Racing,20,20,5,Finished,309,15
2023,Australia,Hybrid,NOR,McLaren,13,13,6,Finished,327,7
2023,Australia,Hybrid,HUL,Haas F1 Team,10,10,7,Finished,327,3
2023,Australia,Hybrid,PIA,McLaren,16,16,8,Finished,299,8
2023,Australia,Hybrid,ZHO,Alfa Romeo,17,17,9,Finished,317,8
2023,Australia,Hybrid,TSU,AlphaTauri,12,12,10,Finished,304,2
2023,Australia,Hybrid,BOT,Alfa Romeo,19,19,11,Finished,299,8
2023,Australia,Hybrid,SAI,Ferrari,5,5,12,Finished,306,-7
2023,Australia,Hybrid,GAS,Alpine,9,9,13,Finished,323,-4
2023,Australia,Hybrid,OCO,Alpine,11,11,14,Finished,305,-3
2023,Australia,Hybrid,DEV,AlphaTauri,15,15,15,Finished,303,0
2023,Australia,Hybrid,SAR,Williams,18,18,16,Finished,326,2
2023,Australia,Hybrid,MAG,Haas F1 Team,14,14,17,Finished,303,-3
2023,Australia,Hybrid,RUS,Mercedes,2,2,18,Retired,305,
2023,Australia,Hybrid,ALB,Williams,8,8,19,Retired,312,
2023,Australia,Hybrid,LEC,Ferrari,7,7,20,Retired,,
2023,Azerbaijan,Street,PER,Red Bull Racing,3,,1,Finished,327,2
2023,Azerbaijan,Street,VER,Red Bull Racing,2,,2,Finished,329,0
2023,Azerbaijan,Street,LEC,Ferrari,1,,3,Finished,329,-2
2023,Azerbaijan,Street,ALO,Aston Martin,6,,4,Finished,330,2
2023,Azerbaijan,Street,SAI,Ferrari,4,,5,Finished,325,-1
2023,Azerbaijan,Street,HAM,Mercedes,5,,6,Finished,327,-1
2023,Azerbaijan,Street,STR,Aston Martin,9,,7,Finished,331,2
2023,Azerbaijan,Street,RUS,Mercedes,11,,8,Finished,321,3
2023,Azerbaijan,Street,NOR,McLaren,7,,9,Finished,323,-2
2023,Azerbaijan,Street,TSU,AlphaTauri,8,,10,Finished,325,-2
2023,Azerbaijan,Street,PIA,McLaren,10,,11,Finished,325,-1
2023,Azerbaijan,Street,ALB,Williams,12,,12,Finished,329,0
2023,Azerbaijan,Street,MAG,Haas F1 Team,16,,13,Finished,331,3
2023,Azerbaijan,Street,GAS,Alpine,17,,14,Finished,328,3
2023,Azerbaijan,Street,OCO,Alpine,19,,15,Finished,324,4
2023,Azerbaijan,Street,SAR,Williams,14,,16,Finished,329,-2
2023,Azerbaijan,Street,HUL,Haas F1 Team,20,,17,Lapped,332,
2023,Azerbaijan,Street,BOT,Alfa Romeo,13,,18,Lapped,320,
2023,Azerbaijan,Street,ZHO,Alfa Romeo,15,,19,Retired,323,
2023,Azerbaijan,Street,DEV,AlphaTauri,18,,20,Retired,340,
2023,Miami,Street,VER,Red Bull Racing,9,9,1,Finished,325,8
2023,Miami,Street,PER,Red Bull Racing,1,1,2,Finished,326,-1
2023,Miami,Street,ALO,Aston Martin,2,2,3,Finished,322,-1
2023,Miami,Street,RUS,Mercedes,6,6,4,Finished,317,2
2023,Miami,Street,SAI,Ferrari,3,3,5,Finished,319,-2
2023,Miami,Street,HAM,Mercedes,13,13,6,Finished,318,7
2023,Miami,Street,LEC,Ferrari,7,7,7,Finished,322,0
2023,Miami,Street,GAS,Alpine,5,5,8,Finished,321,-3
2023,Miami,Street,OCO,Alpine,8,8,9,Finished,320,-1
2023,Miami,Street,MAG,Haas F1 Team,4,4,10,Finished,321,-6
2023,Miami,Street,TSU,AlphaTauri,17,17,11,Finished,322,6
2023,Miami,Street,STR,Aston Martin,18,18,12,Finished,325,6
2023,Miami,Street,BOT,Alfa Romeo,10,10,13,Finished,318,-3
2023,Miami,Street,ALB,Williams,11,11,14,Finished,341,-3
2023,Miami,Street,HUL,Haas F1 Team,12,12,15,Finished,344,-3
2023,Miami,Street,ZHO,Alfa Romeo,14,14,16,Finished,320,-2
2023,Miami,Street,NOR,McLaren,16,16,17,Finished,321,-1
2023,Miami,Street,DEV,AlphaTauri,15,15,18,Finished,321,-3
2023,Miami,Street,PIA,McLaren,19,19,19,Lapped,317,
2023,Miami,Street,SAR,Williams,20,20,20,Lapped,324,
2023,Monaco,Street,VER,Red Bull Racing,1,1,1,Finished,270,0
2023,Monaco,Street,ALO,Aston Martin,2,2,2,Finished,284,0
2023,Monaco,Street,OCO,Alpine,3,4,3,Finished,283,0
2023,Monaco,Street,HAM,Mercedes,5,6,4,Finished,287,1
2023,Monaco,Street,RUS,Mercedes,8,8,5,Finished,285,3
2023,Monaco,Street,LEC,Ferrari,6,3,6,Finished,286,0
2023,Monaco,Street,GAS,Alpine,7,7,7,Finished,286,0
2023,Monaco,Street,SAI,Ferrari,4,5,8,Finished,289,-4
2023,Monaco,Street,NOR,McLaren,10,10,9,Lapped,285,
2023,Monaco,Street,PIA,McLaren,11,11,10,Lapped,284,
2023,Monaco,Street,BOT,Alfa Romeo,15,15,11,Lapped,283,
2023,Monaco,Street,DEV,AlphaTauri,12,12,12,Lapped,285,
2023,Monaco,Street,ZHO,Alfa Romeo,19,19,13,Lapped,285,
2023,Monaco,Street,ALB,Williams,13,13,14,Lapped,287,
2023,Monaco,Street,TSU,AlphaTauri,9,9,15,Lapped,281,
2023,Monaco,Street,PER,Red Bull Racing,20,20,16,Lapped,284,
2023,Monaco,Street,HUL,Haas F1 Team,18,18,17,Lapped,288,
2023,Monaco,Street,SAR,Williams,16,16,18,Lapped,283,
2023,Monaco,Street,MAG,Haas F1 Team,17,17,19,Finished,287,-2
2023,Monaco,Street,STR,Aston Martin,14,14,20,Retired,282,
2023,Spain,Permanent,VER,Red Bull Racing,1,1,1,Finished,308,0
2023,Spain,Permanent,HAM,Mercedes,4,5,2,Finished,327,2
2023,Spain,Permanent,RUS,Mercedes,12,12,3,Finished,303,9
2023,Spain,Permanent,PER,Red Bull Racing,11,11,4,Finished,306,7
2023,Spain,Permanent,SAI,Ferrari,2,2,5,Finished,310,-3
2023,Spain,Permanent,STR,Aston Martin,5,6,6,Finished,305,-1
2023,Spain,Permanent,ALO,Aston Martin,8,9,7,Finished,327,1
2023,Spain,Permanent,OCO,Alpine,6,7,8,Finished,312,-2
2023,Spain,Permanent,ZHO,Alfa Romeo,13,13,9,Finished,302,4
2023,Spain,Permanent,GAS,Alpine,10,4,10,Finished,311,0
2023,Spain,Permanent,LEC,Ferrari,19,19,11,Finished,312,8
2023,Spain,Permanent,TSU,AlphaTauri,15,15,12,Finished,308,3
2023,Spain,Permanent,PIA,McLaren,9,10,13,Lapped,303,
2023,Spain,Permanent,DEV,AlphaTauri,14,14,14,Lapped,327,
2023,Spain,Permanent,HUL,Haas F1 Team,7,8,15,Lapped,310,
2023,Spain,Permanent,ALB,Williams,18,18,16,Lapped,306,
2023,Spain,Permanent,NOR,McLaren,3,3,17,Lapped,325,
2023,Spain,Permanent,MAG,Haas F1 Team,17,17,18,Lapped,311,
2023,Spain,Permanent,BOT,Alfa Romeo,16,16,19,Lapped,323,
2023,Spain,Permanent,SAR,Williams,20,20,20,Lapped,309,
2023,Canada,Hybrid,VER,Red Bull Racing,1,1,1,Finished,311,0
2023,Canada,Hybrid,ALO,Aston Martin,2,3,2,Finished,306,0
2023,Canada,Hybrid,HAM,Mercedes,3,4,3,Finished,305,0
2023,Canada,Hybrid,LEC,Ferrari,10,11,4,Finished,310,6
2023,Canada,Hybrid,SAI,Ferrari,11,8,5,Finished,311,6
2023,Canada,Hybrid,PER,Red Bull Racing,12,12,6,Finished,306,6
2023,Canada,Hybrid,ALB,Williams,9,10,7,Finished,312,2
2023,Canada,Hybrid,OCO,Alpine,6,6,8,Finished,327,-2
2023,Canada,Hybrid,STR,Aston Martin,16,13,9,Finished,332,7
2023,Canada,Hybrid,BOT,Alfa Romeo,14,15,10,Finished,325,4
2023,Canada,Hybrid,PIA,McLaren,8,9,11,Finished,311,-3
2023,Canada,Hybrid,GAS,Alpine,15,17,12,Finished,333,3
2023,Canada,Hybrid,NOR,McLaren,7,7,13,Finished,332,-6
2023,Canada,Hybrid,TSU,AlphaTauri,19,16,14,Finished,313,5
2023,Canada,Hybrid,HUL,Haas F1 Team,5,2,15,Lapped,306,
2023,Canada,Hybrid,ZHO,Alfa Romeo,20,20,16,Lapped,312,
2023,Canada,Hybrid,MAG,Haas F1 Team,13,14,17,Lapped,327,
2023,Canada,Hybrid,DEV,AlphaTauri,17,18,18,Lapped,311,
2023,Canada,Hybrid,RUS,Mercedes,4,5,19,Retired,308,
2023,Canada,Hybrid,SAR,Williams,18,19,20,Retired,337,
2023,Austria,Permanent,VER,Red Bull Racing,1,1,1,Finished,308,0
2023,Austria,Permanent,LEC,Ferrari,2,2,2,Finished,303,0
2023,Austria,Permanent,PER,Red Bull Racing,15,15,3,Finished,305,12
2023,Austria,Permanent,NOR,McLaren,4,4,4,Finished,319,0
2023,Austria,Permanent,ALO,Aston Martin,7,7,5,Finished,300,2
2023,Austria,Permanent,SAI,Ferrari,3,3,6,Finished,302,-3
2023,Austria,Permanent,RUS,Mercedes,11,11,7,Finished,299,4
2023,Austria,Permanent,HAM,Mercedes,5,5,8,Finished,302,-3
2023,Austria,Permanent,STR,Aston Martin,6,6,9,Finished,302,-3
2023,Austria,Permanent,GAS,Alpine,9,9,10,Finished,297,-1
2023,Austria,Permanent,ALB,Williams,10,10,11,Finished,304,-1
2023,Austria,Permanent,ZHO,Alfa Romeo,17,17,12,Lapped,300,
2023,Austria,Permanent,SAR,Williams,18,18,13,Lapped,321,
2023,Austria,Permanent,OCO,Alpine,12,12,14,Lapped,296,
2023,Austria,Permanent,BOT,Alfa Romeo,14,14,15,Lapped,319,
2023,Austria,Permanent,PIA,McLaren,13,13,16,Lapped,301,
2023,Austria,Permanent,DEV,AlphaTauri,20,20,17,Lapped,315,
2023,Austria,Permanent,MAG,Haas F1 Team,19,19,18,Lapped,298,
2023,Austria,Permanent,TSU,AlphaTauri,16,16,19,Lapped,300,
2023,Austria,Permanent,HUL,Haas F1 Team,8,8,20,Retired,315,
2023,United Kingdom,Permanent,VER,Red Bull Racing,6,6,1,Finished,298,5
2023,United Kingdom,Permanent,NOR,McLaren,2,2,2,Finished,333,0
2023,United Kingdom,Permanent,SAI,Ferrari,4,4,3,Finished,305,1
2023,United Kingdom,Permanent,PER,Red Bull Racing,9,9,4,Finished,300,5
2023,United Kingdom,Permanent,RUS,Mercedes,5,5,5,Finished,293,0
2023,United Kingdom,Permanent,GAS,Alpine,7,7,6,Finished,299,1
2023,United Kingdom,Permanent,STR,Aston Martin,20,19,7,Finished,320,13
2023,United Kingdom,Permanent,TSU,AlphaTauri,11,11,8,Finished,303,3
2023,United Kingdom,Permanent,ALB,Williams,15,18,9,Finished,304,6
2023,United Kingdom,Permanent,SAR,Williams,16,20,10,Finished,321,6
2023,United Kingdom,Permanent,HUL,Haas F1 Team,18,16,11,Finished,303,7
2023,United Kingdom,Permanent,BOT,Alfa Romeo,13,13,12,Finished,300,1
2023,United Kingdom,Permanent,ZHO,Alfa Romeo,12,12,13,Lapped,299,
2023,United Kingdom,Permanent,MAG,Haas F1 Team,17,14,14,Lapped,302,
2023,United Kingdom,Permanent,RIC,AlphaTauri,14,15,15,Lapped,300,
2023,United Kingdom,Permanent,ALO,Aston Martin,19,17,16,Retired,302,
2023,United Kingdom,Permanent,PIA,McLaren,10,10,17,Retired,301,
2023,United Kingdom,Permanent,OCO,Alpine,8,8,18,Retired,300,
2023,United Kingdom,Permanent,HAM,Mercedes,3,3,19,Disqualified,297,
2023,United Kingdom,Permanent,LEC,Ferrari,1,1,20,Disqualified,302,
2023,Hungary,Permanent,VER,Red Bull Racing,2,2,1,Finished,301,1
2023,Hungary,Permanent,NOR,McLaren,3,3,2,Finished,316,1
2023,Hungary,Permanent,PER,Red Bull Racing,9,9,3,Finished,301,6
2023,Hungary,Permanent,HAM,Mercedes,1,1,4,Finished,293,-3
2023,Hungary,Permanent,PIA,McLaren,4,4,5,Finished,316,-1
2023,Hungary,Permanent,RUS,Mercedes,18,18,6,Finished,294,12
2023,Hungary,Permanent,LEC,Ferrari,6,6,7,Finished,299,-1
2023,Hungary,Permanent,SAI,Ferrari,11,11,8,Finished,298,3
2023,Hungary,Permanent,ALO,Aston Martin,8,8,9,Finished,303,-1
2023,Hungary,Permanent,STR,Aston Martin,14,14,10,Lapped,301,
2023,Hungary,Permanent,ALB,Williams,16,16,11,Lapped,301,
2023,Hungary,Permanent,BOT,Alfa Romeo,7,7,12,Lapped,299,
2023,Hungary,Permanent,RIC,AlphaTauri,13,13,13,Lapped,298,
2023,Hungary,Permanent,HUL,Haas F1 Team,10,10,14,Lapped,318,
2023,Hungary,Permanent,TSU,AlphaTauri,17,17,15,Lapped,298,
2023,Hungary,Permanent,ZHO,Alfa Romeo,5,5,16,Lapped,292,
2023,Hungary,Permanent,MAG,Haas F1 Team,19,19,17,Lapped,299,
2023,Hungary,Permanent,SAR,Williams,20,20,18,Finished,301,2
2023,Hungary,Permanent,OCO,Alpine,12,12,19,Retired,,
2023,Hungary,Permanent,GAS,Alpine,15,15,20,Retired,,
2023,Belgium,Permanent,VER,Red Bull Racing,6,1,1,Finished,316,5
2023,Belgium,Permanent,PER,Red Bull Racing,2,3,2,Finished,317,0
2023,Belgium,Permanent,LEC,Ferrari,1,2,3,Finished,319,-2
2023,Belgium,Permanent,HAM,Mercedes,3,4,4,Finished,320,-1
2023,Belgium,Permanent,ALO,Aston Martin,9,9,5,Finished,316,4
2023,Belgium,Permanent,RUS,Mercedes,8,8,6,Finished,328,2
2023,Belgium,Permanent,NOR,McLaren,7,7,7,Finished,312,0
2023,Belgium,Permanent,OCO,Alpine,14,15,8,Finished,321,6
2023,Belgium,Permanent,STR,Aston Martin,10,10,9,Finished,316,1
2023,Belgium,Permanent,TSU,AlphaTauri,11,11,10,Finished,321,1
2023,Belgium,Permanent,GAS,Alpine,12,12,11,Finished,323,1
2023,Belgium,Permanent,BOT,Alfa Romeo,13,14,12,Finished,319,1
2023,Belgium,Permanent,ZHO,Alfa Romeo,17,17,13,Finished,325,4
2023,Belgium,Permanent,ALB,Williams,15,16,14,Finished,330,1
2023,Belgium,Permanent,MAG,Haas F1 Team,16,13,15,Finished,320,1
2023,Belgium,Permanent,RIC,AlphaTauri,19,19,16,Finished,337,3
2023,Belgium,Permanent,SAR,Williams,18,18,17,Finished,331,1
2023,Belgium,Permanent,HUL,Haas F1 Team,20,20,18,Finished,332,2
2023,Belgium,Permanent,SAI,Ferrari,4,5,19,Retired,321,
2023,Belgium,Permanent,PIA,McLaren,5,6,20,Retired,,
2023,Netherlands,Permanent,VER,Red Bull Racing,1,1,1,Finished,304,0
2023,Netherlands,Permanent,ALO,Aston Martin,5,5,2,Finished,303,3
2023,Netherlands,Permanent,GAS,Alpine,12,12,3,Finished,305,9
2023,Netherlands,Permanent,PER,Red Bull Racing,7,7,4,Finished,302,3
2023,Netherlands,Permanent,SAI,Ferrari,6,6,5,Finished,310,1
2023,Netherlands,Permanent,HAM,Mercedes,13,13,6,Finished,325,7
2023,Netherlands,Permanent,NOR,McLaren,2,2,7,Finished,305,-5
2023,Netherlands,Permanent,ALB,Williams,4,4,8,Finished,308,-4
2023,Netherlands,Permanent,PIA,McLaren,8,8,9,Finished,303,-1
2023,Netherlands,Permanent,OCO,Alpine,16,17,10,Finished,302,6
2023,Netherlands,Permanent,STR,Aston Martin,11,11,11,Finished,302,0
2023,Netherlands,Permanent,HUL,Haas F1 Team,14,15,12,Finished,302,2
2023,Netherlands,Permanent,LAW,AlphaTauri,19,20,13,Finished,299,6
2023,Netherlands,Permanent,BOT,Alfa Romeo,18,19,14,Finished,297,4
2023,Netherlands,Permanent,TSU,AlphaTauri,17,14,15,Finished,297,2
2023,Netherlands,Permanent,MAG,Haas F1 Team,0,18,16,Finished,300,-16
2023,Netherlands,Permanent,RUS,Mercedes,3,3,17,Finished,299,-14
2023,Netherlands,Permanent,ZHO,Alfa Romeo,15,16,18,Accident,298,
2023,Netherlands,Permanent,LEC,Ferrari,9,9,19,Undertray,311,
2023,Netherlands,Permanent,SAR,Williams,10,10,20,Accident,299,
2023,Italy,Permanent,VER,Red Bull Racing,2,2,1,Finished,329,1
2023,Italy,Permanent,PER,Red Bull Racing,5,5,2,Finished,331,3
2023,Italy,Permanent,SAI,Ferrari,1,1,3,Finished,327,-2
2023,Italy,Permanent,LEC,Ferrari,3,3,4,Finished,340,-1
2023,Italy,Permanent,RUS,Mercedes,4,4,5,Finished,332,-1
2023,Italy,Permanent,HAM,Mercedes,8,8,6,Finished,348,2
2023,Italy,Permanent,ALB,Williams,6,6,7,Finished,328,-1
2023,Italy,Permanent,NOR,McLaren,9,9,8,Finished,332,1
2023,Italy,Permanent,ALO,Aston Martin,10,10,9,Finished,334,1
2023,Italy,Permanent,BOT,Alfa Romeo,14,14,10,Finished,327,4
2023,Italy,Permanent,LAW,AlphaTauri,12,12,11,Finished,331,1
2023,Italy,Permanent,PIA,McLaren,7,7,12,Finished,323,-5
2023,Italy,Permanent,SAR,Williams,15,15,13,Finished,330,2
2023,Italy,Permanent,ZHO,Alfa Romeo,16,16,14,Finished,331,2
2023,Italy,Permanent,GAS,Alpine,17,17,15,Finished,326,2
2023,Italy,Permanent,STR,Aston Martin,20,20,16,Finished,332,4
2023,Italy,Permanent,HUL,Haas F1 Team,13,13,17,Lapped,327,
2023,Italy,Permanent,MAG,Haas F1 Team,19,19,18,Lapped,334,
2023,Italy,Permanent,OCO,Alpine,18,18,19,Retired,344,
2023,Italy,Permanent,TSU,AlphaTauri,11,11,20,Did not start,,
2023,Singapore,Street,SAI,Ferrari,1,1,1,Finished,290,0
2023,Singapore,Street,NOR,McLaren,4,4,2,Finished,295,2
2023,Singapore,Street,HAM,Mercedes,5,5,3,Finished,292,2
2023,Singapore,Street,LEC,Ferrari,3,3,4,Finished,295,-1
2023,Singapore,Street,VER,Red Bull Racing,11,11,5,Finished,293,6
2023,Singapore,Street,GAS,Alpine,12,12,6,Finished,287,6
2023,Singapore,Street,PIA,McLaren,17,17,7,Finished,291,10
2023,Singapore,Street,PER,Red Bull Racing,13,13,8,Finished,294,5
2023,Singapore,Street,LAW,AlphaTauri,10,10,9,Finished,292,1
2023,Singapore,Street,MAG,Haas F1 Team,6,6,10,Finished,294,-4
